vin,county,zip,model
7SAYGDEE7PF627948,NEW YORK,10013,['Model X']
7SAYGDEE7PF626752,NEW YORK,10002,['Model X']
7SAYGDEE7PF616481,NEW YORK,10012,['Model X']
7SAYGDEE7PF610180,NEW YORK,10128,['Model X']
7SAYGDEE7PF605223,NEW YORK,10022,['Model X']
7SAYGDEE7PF590254,NEW YORK,10022,['Model X']
7SAYGDEE7PA064106,NEW YORK,10025,['Model X']
7SAYGDEE7PA063621,NEW YORK,10038,['Model X']
7SAYGDEE7PA051310,NEW YORK,10012,['Model X']
7SAYGDEE7PA040680,NEW YORK,10128,['Model X']
7SAYGDEE7PA036502,NEW YORK,10075,['Model X']
7SAYGDEE7NF461654,NEW YORK,10003,['Model X']
7SAYGDEE7NF449102,NEW YORK,10075,['Model X']
7SAYGDEE7NF444577,NEW YORK,10011,['Model X']
7SAYGDEE7NF442232,NEW YORK,10027,['Model X']
7SAYGDEE7NF426788,NEW YORK,10023,['Model X']
7SAYGDEE7NF412759,NEW YORK,10128,['Model X']
7SAYGDEE7NF368424,NEW YORK,10038,['Model X']
7SAYGDEE7NF356595,NEW YORK,10019,['Model X']
7SAYGDEE7NF356497,NEW YORK,10128,['Model X']
7SAYGDEE7NF354586,NEW YORK,10011,['Model X']
7SAYGDEE7NF350215,NEW YORK,10002,['Model X']
7SAYGDEE7NF324200,NEW YORK,10009,['Model X']
7SAYGDEE7NF319546,NEW YORK,10012,['Model X']
7SAYGDEE7NF318431,NEW YORK,10128,['Model X']
7SAYGDEE7NF313309,NEW YORK,10128,['Model X']
7SAYGDEE7NA022225,NEW YORK,10023,['Model X']
7SAYGDEE7NA020779,NEW YORK,10010,['Model X']
7SAYGDEE7NA014075,NEW YORK,10001,['Model X']
7SAYGDEE7NA009118,NEW YORK,10023,['Model X']
7SAYGDEE6PF688871,NEW YORK,10012,['Model X']
7SAYGDEE6PF617637,NEW YORK,10021,['Model X']
7SAYGDEE6PF596921,NEW YORK,10128,['Model X']
7SAYGDEE6PA067479,NEW YORK,10016,['Model X']
7SAYGDEE6PA061987,NEW YORK,10038,['Model X']
7SAYGDEE6PA057888,NEW YORK,10034,['Model X']
7SAYGDEE6PA047412,NEW YORK,10002,['Model X']
7SAYGDEE6PA032165,NEW YORK,10023,['Model X']
7SAYGDEE6PA027662,NEW YORK,10014,['Model X']
7SAYGDEE6NF457899,NEW YORK,10075,['Model X']
7SAYGDEE6NF457272,NEW YORK,10013,['Model X']
7SAYGDEE6NF449611,NEW YORK,10010,['Model X']
7SAYGDEE6NF370889,NEW YORK,10017,['Model X']
7SAYGDEE6NF312135,NEW YORK,10012,['Model X']
7SAYGDEE6NA007988,NEW YORK,10027,['Model X']
7SAYGDEE5PF701349,NEW YORK,10002,['Model X']
7SAYGDEE5PF689655,NEW YORK,10023,['Model X']
7SAYGDEE5PF630427,NEW YORK,10004,['Model X']
7SAYGDEE5PF598210,NEW YORK,10038,['Model X']
7SAYGDEE5PF586753,NEW YORK,10028,['Model X']
7SAYGDEE5PA070468,NEW YORK,10028,['Model X']
7SAYGDEE5PA056795,NEW YORK,10021,['Model X']
7SAYGDEE5PA035929,NEW YORK,10027,['Model X']
7SAYGDEE5PA030133,NEW YORK,10036,['Model X']
7SAYGDEE5PA023568,NEW YORK,10001,['Model X']
7SAYGDEE5NF447722,NEW YORK,10022,['Model X']
7SAYGDEE5NF447526,NEW YORK,10003,['Model X']
7SAYGDEE5NF446876,NEW YORK,10021,['Model X']
7SAYGDEE5NF440978,NEW YORK,10011,['Model X']
7SAYGDEE5NF426417,NEW YORK,10011,['Model X']
7SAYGDEE5NF389692,NEW YORK,10022,['Model X']
7SAYGDEE5NF318993,NEW YORK,10001,['Model X']
7SAYGDEE5NF309890,NEW YORK,10031,['Model X']
7SAYGDEE5NF308383,NEW YORK,10128,['Model X']
7SAYGDEE5NF307136,NEW YORK,10026,['Model X']
7SAYGDEE5NA019582,NEW YORK,10069,['Model X']
7SAYGDEE5NA017945,NEW YORK,10018,['Model X']
7SAYGDEE5NA017668,NEW YORK,10003,['Model X']
7SAYGDEE5NA011403,NEW YORK,10024,['Model X']
7SAYGDEE4PF698881,NEW YORK,10013,['Model X']
7SAYGDEE4PF666187,NEW YORK,10001,['Model X']
7SAYGDEE4PF662253,NEW YORK,10128,['Model X']
7SAYGDEE4PF617958,NEW YORK,10075,['Model X']
7SAYGDEE4PF612050,NEW YORK,10024,['Model X']
7SAYGDEE4PA076455,NEW YORK,10022,['Model X']
7SAYGDEE4PA065942,NEW YORK,10002,['Model X']
7SAYGDEE4PA034335,NEW YORK,10019,['Model X']
7SAYGDEE4PA026333,NEW YORK,10011,['Model X']
7SAYGDEE4NF428451,NEW YORK,10023,['Model X']
7SAYGDEE4NF371670,NEW YORK,10019,['Model X']
7SAYGDEE4NF369627,NEW YORK,10032,['Model X']
7SAYGDEE4NF355937,NEW YORK,10003,['Model X']
7SAYGDEE4NF331590,NEW YORK,10017,['Model X']
7SAYGDEE4NF331489,NEW YORK,10023,['Model X']
7SAYGDEE4NF315583,NEW YORK,10002,['Model X']
7SAYGDEE4NF314921,NEW YORK,10279,['Model X']
7SAYGDEE4NF308634,NEW YORK,10025,['Model X']
7SAYGDEE4NF307905,NEW YORK,10025,['Model X']
7SAYGDEE4NA018178,NEW YORK,10001,['Model X']
7SAYGDEE4NA017340,NEW YORK,10011,['Model X']
7SAYGDEE4NA016463,NEW YORK,10028,['Model X']
7SAYGDEE4NA011974,NEW YORK,10021,['Model X']
7SAYGDEE4NA010713,NEW YORK,10128,['Model X']
7SAYGDEE4NA010338,NEW YORK,10025,['Model X']
7SAYGDEE4NA007942,NEW YORK,10023,['Model X']
